# Tag,Time,Date,Action
1312000377,1436397728,22:08.4,exit
1302000245,1436397763,22:42.9,entry
1302000245,1436397765,22:45.4,exit
1302000245,1436397805,23:25.0,entry
1302000245,1436397807,23:27.1,exit
1312000377,1436397828,23:48.1,entry
1312000377,1436397830,23:50.3,exit
1312000159,1436397902,25:02.4,entry
1312000159,1436397906,25:05.9,exit
1312000159,1436398086,28:05.9,entry
1312000159,1436398087,28:06.9,exit
1302000245,1436398090,28:09.9,entry
1302000245,1436398093,28:12.7,exit
1312000377,1436398169,29:28.7,entry
1312000377,1436398171,29:30.7,exit
1312000377,1436398205,30:04.6,entry
1312000377,1436398207,30:06.9,exit
1312000377,1436398209,30:08.7,entry
1312000377,1436398211,30:11.4,exit
1312000300,1436398251,30:50.9,entry
1312000300,1436398253,30:53.3,exit
1312000377,1436398254,30:54.5,entry
1312000377,1436398255,30:55.5,exit
1312000300,1436398258,30:57.6,entry
1312000300,1436398260,30:59.6,exit
2015050115,1436398261,31:00.7,entry
2015050115,1436398262,31:02.2,exit
0,1436398379,32:59.3,SeshEnd
0,1436371876,11:15.7,SeshStart
1412000238,1436372057,14:17.0,entry
1412000238,1436372059,14:19.3,exit
1412000238,1436372136,15:36.2,entry
1412000238,1436372137,15:37.2,exit
1412000238,1436372265,17:45.4,entry
1412000238,1436372268,17:48.2,exit
2015050202,1436372495,21:35.1,entry
2015050202,1436372501,21:40.8,exit
1302000139,1436372555,22:35.1,entry
1302000139,1436372559,22:39.2,exit
2015050202,1436372635,23:54.7,entry
2015050202,1436372635,23:55.0,exit
2015050202,1436372637,23:57.3,entry
2015050202,1436372642,24:02.2,exit
1412000238,1436372650,24:10.4,entry
1412000238,1436372655,24:14.9,exit
1412000238,1436372715,25:15.4,entry
1412000238,1436372717,25:17.3,exit
1412000238,1436373070,31:09.7,entry
1412000238,1436373074,31:13.5,exit
1302000139,1436373194,33:14.1,entry
1302000139,1436373196,33:15.5,exit
1412000238,1436373331,35:30.5,entry
1412000238,1436373332,35:31.5,exit
1412000238,1436373333,35:33.1,entry
1412000238,1436373335,35:34.5,exit
1412000238,1436373345,35:44.9,entry
1412000238,1436373346,35:45.9,exit
1412000238,1436373360,35:59.9,entry
