Tag,Time,Date,Action,Source
1312000377,1435557433.75453,2015-06-28 22:57:13.754530,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557442.723087,2015-06-28 22:57:22.723087,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557444.935653,2015-06-28 22:57:24.935653,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557446.108615,2015-06-28 22:57:26.108615,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557447.691185,2015-06-28 22:57:27.691185,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557447.924651,2015-06-28 22:57:27.924651,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557452,2015-06-28 22:57:32,check+,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557452.755151,2015-06-28 22:57:32.755151,reward0,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557458.06788,2015-06-28 22:57:38.067880,reward1,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557463.420874,2015-06-28 22:57:43.420874,reward2,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557468.776491,2015-06-28 22:57:48.776491,reward3,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557474.15803,2015-06-28 22:57:54.158030,reward4,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557479.50945,2015-06-28 22:57:59.509450,reward5,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557479.624661,2015-06-28 22:57:59.624661,complete,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557483,2015-06-28 22:58:03,check+,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557483.965367,2015-06-28 22:58:03.965367,reward0,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
